Wavelength, nm	Energy, eV	Hemispherica	Direct	Hemispherica
		Hemispherical Tilt Irrad, W.m-2.nm-1	Direct + Circumsolar, W.m-2.nm-1	Hemispherical Tilt Irrad, W.m-2.eV-1
379,5	3,266930171278	0,6668	0,4726	77,4582212453622
380	3,26263157894737	0,7008	0,4975	81,6224552347153
380,5	3,25834428383706	0,7508	0,534	87,6762475399258
381	3,25406824146982	0,7638	0,5442	89,4289174060333
381,5	3,24980340760157	0,6884	0,4914	80,8124575738022
382	3,2455497382199	0,5868	0,4196	69,0661422810131
382,5	3,24130718954248	0,5076	0,3636	59,9008327956122
383	3,23707571801567	0,455	0,3265	53,8340821100178
383,5	3,23285528031291	0,4405	0,3166	52,2546589167608
384	3,22864583333333	0,5097	0,3669	60,6213286013873
384,5	3,22444733420026	0,6136	0,4424	73,168879980642
385	3,22025974025974	0,6736	0,4864	80,5326342958542
385,5	3,21608300907912	0,6436	0,4655	77,145956525246
386	3,2119170984456	0,621	0,4498	74,630195192773
386,5	3,20776196636481	0,6457	0,4685	77,7997409461204
387	3,20361757105943	0,6515	0,4734	78,701809566059
387,5	3,19948387096774	0,642	0,4673	77,7547285852557
388	3,19536082474227	0,6358	0,4635	77,2026739796741
388,5	3,19124839124839	0,6314	0,461	76,866125705759
389	3,18714652956298	0,6854	0,5012	83,6549551540571
389,5	3,18305519897304	0,7597	0,5564	92,9619913897403
390	3,17897435897436	0,797	0,5846	97,7768188417487
390,5	3,17490396927017	0,8037	0,5904	98,8517615139539
391	3,17084398976982	0,8514	0,6263	104,987000645265
391,5	3,16679438058748	0,8634	0,6362	106,739200395225
392	3,16275510204082	0,7949	0,5866	98,5219499919342
392,5	3,15872611464968	0,6626	0,4896	82,3339822955315
393	3,15470737913486	0,4798	0,355	59,7714391030811
393,5	3,15069885641677	0,3815	0,2827	47,6466513752218
394	3,14670050761421	0,4957	0,3678	62,0668536860784
394,5	3,14271229404309	0,6839	0,5081	85,8489498104533
395	3,13873417721519	0,8077	0,601	101,646549846749
395,5	3,13476611883692	0,8604	0,641	108,552978786901
396	3,13080808080808	0,7566	0,5644	95,6984881432489
396,5	3,12686002522068	0,5502	0,411	69,7678496128408
397	3,12292191435768	0,4262	0,3188	54,180477335054
397,5	3,11899371069182	0,6295	0,4715	80,2265965276657
398	3,11507537688442	0,8525	0,6394	108,920317793192
398,5	3,11116687578419	1,0069	0,7562	128,970790066946
399	3,10726817042607	1,0693	0,8041	137,307331263107
399,5	3,10337922403004	1,1021	0,8298	141,874040591224
400	3,0995	1,1141	0,8399	143,778028714309
401	3,09177057356608	1,1603	0,8769	150,48991797064
402	3,08407960199005	1,2061	0,9139	157,211311824488
403	3,07642679900744	1,1613	0,8821	152,125803919987
404	3,06881188118812	1,1801	0,8985	155,356671721245
405	3,06123456790123	1,1511	0,8785	152,290028633651
406	3,05369458128079	1,1227	0,8588	149,267121471205
407	3,04619164619165	1,1026	0,8455	147,317783029521
408	3,03872549019608	1,1514	0,8849	154,594813356993
409	3,03129584352078	1,2299	0,9472	165,945234634618
410	3,02390243902439	1,0485	0,8091	142,162324568479
411	3,01654501216545	1,1738	0,9077	159,928593160187
412	3,00922330097087	1,2478	0,9669	170,839299241813
413	3,00193704600484	1,1971	0,9295	164,694426439748
414	2,99468599033816	1,1842	0,9213	163,709584771737
415	2,98746987951807	1,2258	0,9557	170,280210517825
416	2,98028846153846	1,2624	0,9863	176,210593966769
417	2,97314148681055	1,2312	0,9639	172,682801096951
418	2,96602870813397	1,1777	0,9239	165,972297789966
419	2,95894988066826	1,2258	0,9635	173,578539925794
420	2,95190476190476	1,1232	0,8847	159,810033876432
421	2,94489311163896	1,2757	1,0067	182,373240603323
422	2,93791469194313	1,2583	0,995	180,741326988224
423	2,93096926713948	1,2184	0,9653	175,840533634457
424	2,92405660377358	1,2117	0,9618	175,70138667527
425	2,91717647058824	1,2488	0,9931	181,936199386998
426	2,91032863849765	1,2135	0,9667	177,626331666398
427	2,90351288056206	1,1724	0,9355	172,416937893209
428	2,89672897196262	1,1839	0,9463	174,924614937893
429	2,88997668997669	1,0963	0,8777	162,739271092112
430	2,88325581395349	0,8746	0,7013	130,435183094047
431	2,87656612529002	0,7939	0,6378	118,951167849653
432	2,86990740740741	1,3207	1,0628	198,801675108889
433	2,86327944572748	1,2288	0,9905	185,825522826262
434	2,85668202764977	1,1352	0,9165	172,464696886595
435	2,85011494252874	1,2452	1,007	190,049177286659
436	2,84357798165138	1,3659	1,1061	209,430655266979
437	2,8370709382151	1,3943	1,1306	214,766959751573
438	2,83059360730594	1,2238	0,9937	189,368194224875
439	2,82414578587699	1,1775	0,9575	183,036761977738
440	2,81772727272727	1,3499	1,0993	210,792579448298
441	2,81133786848073	1,3313	1,0859	208,834130746895
442	2,80497737556561	1,425	1,164	224,547265688014
443	2,79864559819413	1,4453	1,1823	228,777770366188
444	2,79234234234234	1,4084	1,1537	223,944460719471
445	2,78606741573034	1,4619	1,1992	233,499554363607
446	2,77982062780269	1,3108	1,0766	210,307382481045
447	2,77360178970917	1,4903	1,2257	240,180152201968
448	2,76741071428571	1,5081	1,2422	244,137524116793
449	2,76124721603563	1,5045	1,2409	244,643252540732
450	2,75511111111111	1,5595	1,2881	254,717494757219
451	2,7490022172949	1,6173	1,3376	265,333470963059
452	2,7429203539823	1,5482	1,2822	255,124578803033
453	2,73686534216336	1,4297	1,1854	236,640835054041
454	2,73083700440529	1,5335	1,273	254,943447330215
455	2,72483516483516	1,5224	1,2655	254,214276496209
456	2,71885964912281	1,5724	1,3088	263,71879851589
457	2,7129102844639	1,5854	1,3213	267,066627359252
458	2,70698689956332	1,5514	1,2946	262,484166478464
459	2,70108932461874	1,5391	1,2859	261,54148015809
460	2,69521739130435	1,5291	1,2791	260,975608969189
461	2,68937093275488	1,5827	1,3255	271,299392402
462	2,68354978354978	1,5975	1,3392	275,025641232457
463	2,67775377969762	1,6031	1,3452	277,185791175996
464	2,67198275862069	1,5544	1,3055	269,927490240361
465	2,66623655913978	1,535	1,2905	267,708803839329
466	2,66051502145923	1,5673	1,319	274,51895370221
467	2,65481798715203	1,4973	1,2616	263,384948943378
468	2,6491452991453	1,5619	1,3178	275,92642813357
469	2,64349680170576	1,5682	1,3247	278,224584771737
470	2,63787234042553	1,5077	1,2749	268,632787546378
471	2,63227176220807	1,5331	1,2975	274,322017341507
472	2,62669491525424	1,6126	1,3661	289,773736409098
473	2,62114164904863	1,5499	1,3144	279,6883183578
474	2,61561181434599	1,5671	1,3304	283,989159219229
475	2,61010526315789	1,6185	1,3755	294,542718583643
476	2,6046218487395	1,5631	1,3299	285,659739958058
477	2,59916142557652	1,5724	1,3392	288,567994515244
478	2,59372384937238	1,623	1,3839	299,104316825294
479	2,58830897703549	1,5916	1,3586	294,546132924665
480	2,58291666666667	1,6181	1,3825	300,701919664462
481	2,57754677754678	1,6177	1,3836	301,88150483949
482	2,57219917012448	1,6236	1,3899	304,243625100823
483	2,56687370600414	1,6038	1,3742	301,781656880142
484	2,56157024793388	1,5734	1,3492	297,288587191482
485	2,55628865979381	1,5683	1,3457	297,550707775448
486	2,55102880658436	1,2716	1,0918	242,254261655106
487	2,54579055441478	1,4241	1,2235	272,42488538474
488	2,5405737704918	1,5413	1,3252	296,056902080981
489	2,53537832310838	1,4519	1,2492	280,028859412809
490	2,53020408163265	1,6224	1,3968	314,194418454589
491	2,52505091649694	1,5595	1,3435	303,247152363284
492	2,51991869918699	1,4869	1,2818	290,308889820939
493	2,51480730223124	1,5903	1,3719	311,760626472012
494	2,50971659919028	1,5525	1,3402	305,586296176803
495	2,50464646464646	1,6485	1,4238	325,797477415712
